id,ts,price,vol24h
1,1649954940,39901.370521070436,25393103940.00275
1,1649955240,39881.87893668245,25252367664.16206
1,1649955540,39938.59071966997,25197980925.84654
1,1649955840,39976.52986562338,25080138759.490356
1,1649956140,39982.342683757895,24958243416.771526
1,1649956440,39985.25949129991,24880093249.15971
1,1649956740,39937.99021034172,24871487139.423065
1,1649957040,39932.415640742365,24820578675.841103
1,1649957340,39975.883406156274,24802529654.071312
1,1649957640,40024.984294031,24840746805.324356
1,1649957940,40071.99475067384,24835755511.74772
1,1649958240,40028.91371893035,24842159652.37643
1,1649958540,39939.42079761631,24764300624.377808
1,1649958840,39932.329915305316,24711849646.037533
1,1649959140,39943.97023615337,24696029210.126602
1,1649959440,39995.451209865125,24750656226.42791
1,1649959740,40023.14965735815,24750152951.97711
1,1649960040,39984.79680394983,24744348575.534695
1,1649960340,39992.64431213973,24743476666.23982
1,1649960640,39933.45279782409,24648276879.806652
1,1649960940,39926.5145379715,24643823632.663673
1,1649961240,39900.951544931915,24657906484.458893
1,1649961540,39897.984575412076,24638803838.862686
1,1649961840,39907.14665582601,24631870299.00845
1,1649962140,39908.78719769282,24633234126.340187
1,1649962440,39919.18379555061,24589603132.40751
1,1649962740,39731.0628732275,24668118922.55348
1,1649963040,39695.744431167535,24782596041.30073
1,1649963340,39758.08421071885,24758074981.282425
1,1649963640,39763.67511978412,24758283246.298462
1,1649963940,39788.290046363974,24819890722.258644
1,1649964240,39777.78075832482,24791235414.715527
1,1649964540,39778.79096476151,24761526696.54403
1,1649964840,39763.852723147495,24841419352.67555
1,1649965140,39779.01053303811,24799494365.792988
1,1649965440,39779.14702645679,24804139136.674366
1,1649965740,39782.112181174554,24791988204.024696
1,1649966040,39800.9333614838,24705582763.053886
1,1649966340,39799.296802500074,24688528690.971558
1,1649966640,39769.62202560578,24642467416.83033
1,1649966940,39772.77586756907,24645892188.41369
1,1649967240,39723.057705733816,24697090853.396385
1,1649967540,39722.56848011152,24748064411.534386
1,1649967840,39750.34939351488,24691722886.907604
1,1649968140,39780.800869794584,24664438640.642086
1,1649968440,39811.49915568387,24740861343.196854
1,1649968740,39864.879805492135,24751928716.270447
1,1649969040,39873.82470302829,24764506858.663593
1,1649969340,39832.57786988376,24763612114.62859
1,1649969640,39867.437134863125,24727526209.699837
1,1649969940,39878.702574931056,24750472830.15475
1,1649970240,39913.41038885356,24759274700.701088
1,1649970540,39911.00721497318,24748278278.62095
1,1649970840,39901.0837493833,24770807096.162704
1,1649971140,39904.765123937075,24821253840.426003
1,1649971440,39907.70284057454,24801860958.102634
1,1649971740,39919.63340877618,24765751174.66585
1,1649972040,39919.5999948124,24847660803.10983
