id,name,symbol,slug,cmcRank,marketPairCount,circulatingSupply,selfReportedCirculatingSupply,totalSupply,ath,atl,high24h,low24h,isActive,lastUpdated,dateAdded,scrape_date
10791,eCash,XEC,ecash,57,49,19033573423313.0,0.0,18899704673313.0,0.000592590659826054,1.73e-05,9.4112790934326e-05,9.074372394109e-05,1,2022-04-15T16:49:00.000Z,2021-07-08T00:00:00.000Z,2022-04-16
6719,The Graph,GRT,the-graph,58,198,4715735200.0,0.0,10000000000.0,2.87513516,0.0,0.3712121439957264,0.3579664063631576,1,2022-04-15T16:49:00.000Z,2020-12-17T00:00:00.000Z,2022-04-16
9903,Convex Finance,CVX,convex-finance,59,105,57748393.79580448,2814665.0,88419917.82760923,62.68817812800717,1.88173169,28.63705917891141,28.10596287506278,1,2022-04-15T16:49:00.000Z,2021-05-18T00:00:00.000Z,2022-04-16
3602,Bitcoin SV,BSV,bitcoin-sv,60,171,19033014.14423905,0.0,19033014.14423905,491.6353891,36.8696,86.16905270467552,83.74950786558612,1,2022-04-15T16:49:00.000Z,2018-11-09T00:00:00.000Z,2022-04-16
2087,KuCoin Token,KCS,kucoin-token,61,38,80118638.0,0.0,170118638.0,28.795176559830317,0.336503927826,20.041797144868248,19.329177632841805,1,2022-04-15T16:49:00.000Z,2017-10-24T00:00:00.000Z,2022-04-16
4847,Stacks,STX,stacks,62,46,1308411652.461235,1048765672.087772,1352464600.0,3.6104497319996463,0.0450080485668,1.2007931833376417,1.1705193377383392,1,2022-04-15T16:49:00.000Z,2019-10-28T00:00:00.000Z,2022-04-16
1376,Neo,NEO,neo,63,245,70538831.0,0.0,100000000.0,196.85299682617188,0.07228679955005646,21.233006770542612,20.29655314195853,1,2022-04-15T16:49:00.000Z,2016-09-08T00:00:00.000Z,2022-04-16
2502,Huobi Token,HT,huobi-token,64,108,155075747.25441208,0.0,500000000.0,39.81492572,0.890308491246,9.51587308972884,9.309194471116433,1,2022-04-15T16:49:00.000Z,2018-02-03T00:00:00.000Z,2022-04-16
3945,Harmony,ONE,harmony,65,89,11944857226.100662,0.0,13421313226.10068,0.3798319197326405,0.00125670166096,0.12300488185993866,0.11921171432172606,1,2022-04-15T16:49:00.000Z,2019-06-01T00:00:00.000Z,2022-04-16
4066,Chiliz,CHZ,chiliz,66,236,6000378958.269583,0.0,8888888888.0,0.89147509,0.0040007649349,0.24330100036398955,0.23322888422066698,1,2022-04-15T16:49:00.000Z,2019-07-01T00:00:00.000Z,2022-04-16
7080,Gala,GALA,gala,67,143,6977205436.0,0.0,35240112493.0,0.8366854878441121,0.00015101,0.20227399309002,0.19599190471010589,1,2022-04-15T16:49:00.000Z,2020-09-16T00:00:00.000Z,2022-04-16
5034,Kusama,KSM,kusama,68,130,8470098.05726206,8597992.0,9651217.45126206,623.75283412,0.915787390828,166.536719992504,156.42689892142926,1,2022-04-15T16:49:00.000Z,2019-12-12T00:00:00.000Z,2022-04-16
2469,Zilliqa,ZIL,zilliqa,69,176,12654860455.711113,0.0,15946327608.711113,0.25629331,0.00247720674605,0.11667036116273179,0.1088065252692159,1,2022-04-15T16:49:00.000Z,2018-01-25T00:00:00.000Z,2022-04-16
2563,TrueUSD,TUSD,trueusd,70,252,1361662525.7646406,0.0,1361662525.7646406,1.364490032196045,0.917876956195,1.0006598037841663,0.9991677464358305,1,2022-04-15T16:49:00.000Z,2018-03-06T00:00:00.000Z,2022-04-16
3155,Quant,QNT,quant,71,91,12072738.0,0.0,14612493.080826,428.38470116,0.163629,114.12732746253798,110.76663108973705,1,2022-04-15T16:49:00.000Z,2018-08-10T00:00:00.000Z,2022-04-16
5567,Celo,CELO,celo,72,105,433213075.0,0.0,1000000000.0,10.6583577,0.795534054385,3.1636923199661466,3.045999390661179,1,2022-04-15T16:49:00.000Z,2020-05-22T00:00:00.000Z,2022-04-16
18069,STEPN,GMT,green-metaverse-token,73,58,600000000.0,0.0,6000000000.0,3.106004806832996,0.10034439575429034,2.2821268964697383,2.1787411189829973,1,2022-04-15T16:49:00.000Z,2022-03-09T12:47:15.000Z,2022-04-16
2694,Nexo,NEXO,nexo,74,62,560000011.0,0.0,1000000000.0,4.625207707279189,0.0433327,2.410020199938044,2.3327917149290873,1,2022-04-15T16:49:00.000Z,2018-05-01T00:00:00.000Z,2022-04-16
2130,Enjin Coin,ENJ,enjin-coin,75,237,878223705.567558,0.0,1000000000.0,4.846962115846244,0.01561960019171238,1.5362403428476081,1.4849581208221407,1,2022-04-15T16:49:00.000Z,2017-11-01T00:00:00.000Z,2022-04-16
