id,ts,price,vol24h,scrape_batch
1,1649956140,39982.342683757895,24958243416.771526,2022-04-16 01:11:33
1,1649956440,39985.25949129991,24880093249.15971,2022-04-16 01:11:33
1,1649956740,39937.99021034172,24871487139.423065,2022-04-16 01:11:33
1,1649957040,39932.415640742365,24820578675.841103,2022-04-16 01:11:33
1,1649957340,39975.883406156274,24802529654.071312,2022-04-16 01:11:33
1,1649957640,40024.984294031,24840746805.324356,2022-04-16 01:11:33
1,1649957940,40071.99475067384,24835755511.74772,2022-04-16 01:11:33
1,1649958240,40028.91371893035,24842159652.37643,2022-04-16 01:11:33
1,1649958540,39939.42079761631,24764300624.377808,2022-04-16 01:11:33
1,1649958840,39932.329915305316,24711849646.037533,2022-04-16 01:11:33
1,1649959140,39943.97023615337,24696029210.126602,2022-04-16 01:11:33
1,1649959440,39995.451209865125,24750656226.42791,2022-04-16 01:11:33
1,1649959740,40023.14965735815,24750152951.97711,2022-04-16 01:11:33
1,1649960040,39984.79680394983,24744348575.534695,2022-04-16 01:11:33
1,1649960340,39992.64431213973,24743476666.23982,2022-04-16 01:11:33
1,1649960640,39933.45279782409,24648276879.806652,2022-04-16 01:11:33
1,1649960940,39926.5145379715,24643823632.663673,2022-04-16 01:11:33
1,1649961240,39900.951544931915,24657906484.458893,2022-04-16 01:11:33
1,1649961540,39897.984575412076,24638803838.862686,2022-04-16 01:11:33
1,1649961840,39907.14665582601,24631870299.00845,2022-04-16 01:11:33
1,1649962140,39908.78719769282,24633234126.340187,2022-04-16 01:11:33
1,1649962440,39919.18379555061,24589603132.40751,2022-04-16 01:11:33
1,1649962740,39731.0628732275,24668118922.55348,2022-04-16 01:11:33
1,1649963040,39695.744431167535,24782596041.30073,2022-04-16 01:11:33
1,1649963340,39758.08421071885,24758074981.282425,2022-04-16 01:11:33
1,1649963640,39763.67511978412,24758283246.298462,2022-04-16 01:11:33
1,1649963940,39788.290046363974,24819890722.258644,2022-04-16 01:11:33
1,1649964240,39777.78075832482,24791235414.715527,2022-04-16 01:11:33
1,1649964540,39778.79096476151,24761526696.54403,2022-04-16 01:11:33
1,1649964840,39763.852723147495,24841419352.67555,2022-04-16 01:11:33
1,1649965140,39779.01053303811,24799494365.792988,2022-04-16 01:11:33
1,1649965440,39779.14702645679,24804139136.674366,2022-04-16 01:11:33
1,1649965740,39782.112181174554,24791988204.024696,2022-04-16 01:11:33
1,1649966040,39800.9333614838,24705582763.053886,2022-04-16 01:11:33
1,1649966340,39799.296802500074,24688528690.971558,2022-04-16 01:11:33
1,1649966640,39769.62202560578,24642467416.83033,2022-04-16 01:11:33
1,1649966940,39772.77586756907,24645892188.41369,2022-04-16 01:11:33
1,1649967240,39723.057705733816,24697090853.396385,2022-04-16 01:11:33
1,1649967540,39722.56848011152,24748064411.534386,2022-04-16 01:11:33
1,1649967840,39750.34939351488,24691722886.907604,2022-04-16 01:11:33
1,1649968140,39780.800869794584,24664438640.642086,2022-04-16 01:11:33
1,1649968440,39811.49915568387,24740861343.196854,2022-04-16 01:11:33
1,1649968740,39864.879805492135,24751928716.270447,2022-04-16 01:11:33
1,1649969040,39873.82470302829,24764506858.663593,2022-04-16 01:11:33
1,1649969340,39832.57786988376,24763612114.62859,2022-04-16 01:11:33
1,1649969640,39867.437134863125,24727526209.699837,2022-04-16 01:11:33
1,1649969940,39878.702574931056,24750472830.15475,2022-04-16 01:11:33
1,1649970240,39913.41038885356,24759274700.701088,2022-04-16 01:11:33
1,1649970540,39911.00721497318,24748278278.62095,2022-04-16 01:11:33
1,1649970840,39901.0837493833,24770807096.162704,2022-04-16 01:11:33
1,1649971140,39904.765123937075,24821253840.426003,2022-04-16 01:11:33
1,1649971440,39907.70284057454,24801860958.102634,2022-04-16 01:11:33
1,1649971740,39919.63340877618,24765751174.66585,2022-04-16 01:11:33
1,1649972040,39919.5999948124,24847660803.10983,2022-04-16 01:11:33
1,1649972340,39977.56070076333,24835567163.644417,2022-04-16 01:11:33
1,1649972640,39983.6997206229,24866503278.1671,2022-04-16 01:11:33
1,1649972940,39930.46982547443,24864182442.448734,2022-04-16 01:11:33
1,1649973240,39942.45391625539,24822486847.487476,2022-04-16 01:11:33
1,1649973540,39977.79049212399,24791780174.30327,2022-04-16 01:11:33
1,1649973840,39989.74888966734,24747554042.2475,2022-04-16 01:11:33
1,1649974140,39987.91185938913,24705634993.95274,2022-04-16 01:11:33
1,1649974440,40000.36681765139,24703518105.69047,2022-04-16 01:11:33
1,1649974740,39993.26779205638,24733738425.149498,2022-04-16 01:11:33
1,1649975040,39983.15739567893,24715385264.501137,2022-04-16 01:11:33
1,1649975340,39975.56671118729,24653327829.85999,2022-04-16 01:11:33
1,1649975640,39981.35969869991,24659079401.33014,2022-04-16 01:11:33
1,1649975940,39926.835529531796,24574654273.87617,2022-04-16 01:11:33
1,1649976240,39895.55828452901,24595424512.820236,2022-04-16 01:11:33
1,1649976540,39901.64168886311,24628796754.881443,2022-04-16 01:11:33
1,1649976840,39912.70514400357,24616198891.631245,2022-04-16 01:11:33
1,1649977140,39870.14190704384,24659826973.14984,2022-04-16 01:11:33
1,1649977440,39881.79546588076,24627643751.108124,2022-04-16 01:11:33
1,1649977740,39876.97875596904,24483239851.035393,2022-04-16 01:11:33
1,1649978040,39906.03848707615,24410188765.704403,2022-04-16 01:11:33
1,1649978340,39930.112211274936,24381567103.285046,2022-04-16 01:11:33
1,1649978640,39918.38531300989,24344492457.515335,2022-04-16 01:11:33
1,1649978940,39912.54632363587,24311306902.000782,2022-04-16 01:11:33
